S. No.,Code,Name ,Type
1,1,"University Departments of Anna University, Chennai - CEG Campus,Sardar Patel Road, Guindy, Chennai 600 025",UNIVERSITY
2,2,"University Departments of Anna University, Chennai - ACT Campus,Sardar Patel Road, Guindy, Chennai 600 025",UNIVERSITY
3,3,"University Departments of Anna University, Chennai - SAP Campus,Sardar Patel Road, Guindy, Chennai 600 025",UNIVERSITY
4,4,"University Departments of Anna University, Chennai - MIT Campus,Chrompet, Tambaram Taluk, Chengalpattu District 600 044",UNIVERSITY
5,5,"Annamalai University Faculty of Engineering andTechnology,Annamalai nagar,Cuddalore",UNIVERSITY
6,1516,"Thanthai Periyar Government Institute of Technology, Bagayam,Vellore District 632002",GOVERNMENT COLLEGES
7,2005,"Government College of Technology (Autonomous), Thadagam Road,Coimbatore District 641013",GOVERNMENT COLLEGES
8,2369,"Government College of Engineering, Chettikkarai Post, DharmapuriDistrict 635704",GOVERNMENT COLLEGES
9,2603,"Government College of Engineering (Autonomous), Bargur,Krishnagiri District 635104",GOVERNMENT COLLEGES
10,2615,"Government College of Engineering (Autonomous), Salem District636011",GOVERNMENT COLLEGES
11,2709,"Institute of Road and Transport Technology, Vasavi College Post,Erode District 638316",GOVERNMENT COLLEGES
12,3464,"Government College of Engineering, Gandarvakottai Road,Sengipatti, Thanjavur District 613402",GOVERNMENT COLLEGES
13,3465,"Government College of Engineering, Srirangam, Sethurappatti,Tiruchirappalli District 620012",GOVERNMENT COLLEGES
14,4974,"Government College of Engineering, Tirunelveli District 627007",GOVERNMENT COLLEGES
15,5009,"Government College of Engineering, Melachokkanathapuram,Bodinayakkanur, Theni District 625582",GOVERNMENT COLLEGES
17,2006,"PSG College of Technology (Autonomous), Peelamedu, CoimbatoreDistrict 641004",GOVERNMENT AIDED COLLEGES
18,2007,"Coimbatore Institute of Technology (Autonomous), Civil AerodromePost, Coimbatore District 641014",GOVERNMENT AIDED COLLEGES
19,5008,"Thiagarajar College of Engineering(Autonomous),Tirupparankundram, Madurai District 625015",GOVERNMENT AIDED COLLEGES
20,1321,"Central Institute of Plastics Engineering and Technology (CIPET),",GOVERNMENT AIDED COLLEGES
21,2343,"Indian Institute of Handloom Technology, Foulke's Compound,",GOVERNMENT AIDED COLLEGES
22,5012,"Central Electrochemical Research Institute CECRI), Karaikudi,",GOVERNMENT AIDED COLLEGES
23,1013,"University College of Engineering, Villupuram, Kakuppam,",CONSTITUENT COLLEGES
24,1014,"University College of Engineering, Tindivanam, Melpakkam,",CONSTITUENT COLLEGES
25,1015,"University College of Engineering, Arni, Arni to Devikapuram Road,",CONSTITUENT COLLEGES
26,1026,"University College of Engineering, Kancheepuram, Ponnerikarai",CONSTITUENT COLLEGES
27,2025,"Anna University Regional Campus - Coimbatore, Maruthamalai Main",CONSTITUENT COLLEGES
28,3011,"University College of Engineering, Tiruchirappalli, (Bharathidasan",CONSTITUENT COLLEGES
29,3016,"University College of Engineering, Ariyalur, Kathankudikadu Village,",CONSTITUENT COLLEGES
30,3018,"University College of Engineering, Thirukkuvalai, Nagappattinam",CONSTITUENT COLLEGES
31,3019,"University College of Engineering, Panruti, Chennai-Kumbakonam",CONSTITUENT COLLEGES
32,3021,"University College of Engineering, Pattukkottai, ECR Road,",CONSTITUENT COLLEGES
33,4020,"Anna University Regional Campus - Tirunelveli, Trivandrum Road,",CONSTITUENT COLLEGES
34,4023,"University College of Engineering, Nagercoil, Nagercoil Industrial",CONSTITUENT COLLEGES
35,4024,"University V.O.C. College of Engineering, Thoothukudi, Near V.O.C.",CONSTITUENT COLLEGES
36,5010,"Anna University Regional Campus - Madurai, Kanyakumari National",CONSTITUENT COLLEGES
37,5017,"University College of Engineering, Ramanathapuram, Pullangudi,",CONSTITUENT COLLEGES
39,1101,"Aalim Muhammed Salegh College of Engineering, Muthapudupet,",PRIVATE COLLEGES
40,1106,"Jaya Engineering College, Thirunindravur, Chennai 602024",PRIVATE COLLEGES
41,1107,"Jaya Institute of Technology, Kanchipadi Post, Thiruvallur-Tiruttani",PRIVATE COLLEGES
42,1110,"Prathyusha Engineering college, Aranvoyalkuppam, Thiruvallur",PRIVATE COLLEGES
43,1112,"R M D Engineering College, Kavaraipettai, Gummidipoondi,",PRIVATE COLLEGES
44,1113,"R M K Engineering College (Autonomous), Kavaraipettai,",PRIVATE COLLEGES
46,1115,"Sri Ram Engineering College, Perumalpattu, Veppampattu (R S),",PRIVATE COLLEGES
47,1116,"Sri Venkateswara College of Engineering and Technology,",PRIVATE COLLEGES
48,1118,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering,PRIVATE COLLEGES
49,1120,"Velammal Engineering College (Autonomous), Ambattur-Redhills",PRIVATE COLLEGES
50,1122,Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering,PRIVATE COLLEGES
51,1123,"Gojan School of Business and Technology, Alamathi, Chennai 600062",PRIVATE COLLEGES
52,1124,"Chennai-Tirupathi Road, Uthukkottai Taluk, Thiruvallur District",PRIVATE COLLEGES
53,1125,"P M R Engineering College, Adayalampattu, Maduravoyal ,",PRIVATE COLLEGES
54,1126,"J N N Institute of Engineering, Ushaa Garden, Kannigaipair Village,",PRIVATE COLLEGES
55,1127,"St. Peters College of Engineering and Technology, College Road,",PRIVATE COLLEGES
56,1128,"R M K College of Engineering and Technology, Puduvoyal,",PRIVATE COLLEGES
57,1129,"Jaya School of Architecture, Poonamallee Bypass,",PRIVATE COLLEGES
58,1130,"MARG Instiute of Design & Architecture Swarnabhoomi (MIDAS),",PRIVATE COLLEGES
59,1132,"Rajalakshmi School of Architecture, Thandalam, Sriperumpudur Taluk,",PRIVATE COLLEGES
60,1133,"Annai Veilankannis College of Engineering, Gandhi Road,",PRIVATE COLLEGES
